# 1D Hubbard model w PBC and half-filling
# Bethe Ansatz ground state energies
# rows: number of sites, columns: U value, t = -1.
 0              2             4             6             8
 6  -0.9015761452  -0.6114510301  -0.4414195941  -0.3413551480
 8  -0.8340112296  -0.5754407875  -0.4260965159  -0.3332684275
10  -0.8638415739  -0.5834322627  -0.4254559412  -0.3314996720
12  -0.8378326003  -0.5766961302  -0.4233558402  -0.3302135861
14  -0.8538819914  -0.5777392216  -0.4226063205  -0.3295073304
16  -0.8412907777  -0.5759019357  -0.4219681938  -0.3290386737
18  -0.8498864409  -0.5759016660  -0.4215798386  -0.3287208987
20  -0.8429945438  -0.5752517330  -0.4212874775  -0.3284936063
22  -0.8479094589  -0.5751112601  -0.4210764271  -0.3283258327
24  -0.8437546370  -0.5748235784  -0.4209145005  -0.3281983724
26  -0.8467984027  -0.5746971710  -0.4207891424  -0.3280992869
28  -0.8441273255  -0.5745440364  -0.4206895758  -0.3280207306
30  -0.8461180975  -0.5744495564  -0.4206093644  -0.3279573992
32  -0.8443204877  -0.5743562562  -0.4205437310  -0.3279055968
34  -0.8456750443  -0.5742878604  -0.4204893689  -0.3278626850
36  -0.8444232469  -0.5742255904  -0.4204438279  -0.3278267393
38  -0.8453727631  -0.5741757002  -0.4204053007  -0.3277963293
40  -0.8444777400  -0.5741315399  -0.4203724160  -0.3277703738
