# 1D Hubbard model w PBC and half-filling
# DMRG ground state energies per site
# rows: number of sites, columns: U value, t = -1.
 0              2             4             6             8
 6  -0.9015761408  -0.6114510298  -0.4414195940  -0.3413551477
 8  -0.8210240204  -0.5754407875  -0.4260965159  -0.3332683482
10  -0.8638409826  -0.5834318790  -0.4254558021  -0.3314987527
12  -0.8367802745  -0.5766847466  -0.4233500982  -0.3302096060
14  -0.8537921477  -0.5776877905  -0.4225162441  -0.3294996840
16  -0.8410817354  -0.5757490319  -0.4208008779  -0.3147264534
18  -0.8495812435  -0.5732968377  -0.4142321047  -0.3162053763
20  -0.8422751867  -0.5673890121  -0.4022769183  -0.2999381598
22  -0.8473356843  -0.5423672994  -0.3941209895  -0.3077069536
24  -0.8428810493  -0.5602165078  -0.3914801137  -0.2743454216
26  -0.8459590056  -0.5061988399  -0.3698203388  -0.2753021822
28  -0.8431517888  -0.5026317533  -0.3614932065  -0.2666597487
30  -0.8450269228  -0.5033539009  -0.3621829092  -0.2555112478
32
